TRACTCE10,GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Occupied_h,Total_hous,No_vehicle,Percent__N,GlobalID,Pop_Chng_p,Shape_Leng,Shape_Area
910103,13045910103,9101.03,ARC 20,,,SDE,2015/06/01 14:29:55,2006,2151,75,3.7,,100.3,118277.754224171,607399676.932592
910104,13045910104,9101.04,ARC 20,,,SDE,2015/06/01 14:29:55,3107,3478,204,6.6,,201.1,124766.277906116,483848846.048713
910502,13045910502,9105.02,ARC 20,,,SDE,2015/06/01 14:29:55,981,1206,223,22.7,,-368.8,30985.3346540114,46851520.2721302
910800,13045910800,9108,ARC 20,,,SDE,2015/06/01 14:29:55,1433,1692,19,1.3,,1.1,237362.002636664,1854391191.89244
910101,13045910101,9101.01,ARC 20,,,SDE,2015/06/01 14:29:55,2316,2513,191,8.2,,397.3,67720.6040720509,179464142.883073
910200,13045910200,9102,ARC 20,,,SDE,2015/06/01 14:29:55,4327,4673,182,4.2,,93.9,200510.053132609,1294612059.9915
910900,13045910900,9109,ARC 20,,,SDE,2015/06/01 14:29:55,1295,1454,37,2.9,,7.8,191210.915685077,1421324970.22449
910300,13045910300,9103,ARC 20,,,SDE,2015/06/01 14:29:55,2186,2380,84,3.8,,17.1,188483.019679187,1592537985.16644
911100,13045911100,9111,ARC 20,,,SDE,2015/06/01 14:29:55,3088,3422,204,6.6,,24.2,127359.16922123,561777380.447206
911000,13045911000,9110,ARC 20,,,SDE,2015/06/01 14:29:55,2266,2638,244,10.8,,27.2,103362.274055408,552049987.572216
910701,13045910701,9107.01,ARC 20,,,SDE,2015/06/01 14:29:55,3065,3430,90,2.9,,116.1,150756.970468562,707225757.490576
910703,13045910703,9107.03,ARC 20,,,SDE,2015/06/01 14:29:55,2824,3329,201,7.1,,68.9,107808.869512959,385587810.753281
910600,13045910600,9106,ARC 20,,,SDE,2015/06/01 14:29:55,2226,2391,286,12.8,,70.5,107942.661975138,350294860.374676
910501,13045910501,9105.01,ARC 20,,,SDE,2015/06/01 14:29:55,2178,2586,75,3.4,,153.2,101355.083791631,321595170.318669
910702,13045910702,9107.02,ARC 20,,,SDE,2015/06/01 14:29:55,2626,3183,0,0,,104.1,117348.28427535,660896317.315651
911200,13045911200,9112,ARC 20,,,SDE,2015/06/01 14:29:55,2213,2500,141,6.4,,2.8,202142.90764254,1823469968.92345
910400,13045910400,9104,ARC 20,,,SDE,2015/06/01 14:29:55,1357,1523,125,9.2,,-8.5,196671.673544441,1202468139.31595
140207,13113140207,1402.07,ARC 10,,,SDE,2015/06/01 14:29:55,2195,2276,42,1.9,,49,41494.197815993,87756398.850407
140208,13113140208,1402.08,ARC 10,,,SDE,2015/06/01 14:29:55,2606,2945,57,2.2,,435.5,76889.4961770768,187201161.324454
140303,13113140303,1403.03,ARC 10,,,SDE,2015/06/01 14:29:55,1668,1745,53,3.2,,-88.6,74036.546092173,158158984.969019
140304,13113140304,1403.04,ARC 10,,,SDE,2015/06/01 14:29:55,2209,2353,14,0.6,,-109.8,54031.7991976389,150049861.873083
140307,13113140307,1403.07,ARC 10,,,SDE,2015/06/01 14:29:55,1490,1557,0,0,,123.4,82519.0876519657,187003550.423712
140408,13113140408,1404.08,ARC 10,,,SDE,2015/06/01 14:29:55,1114,1154,10,0.9,,-26.1,68558.8361291726,170909080.973232
140407,13113140407,1404.07,ARC 10,,,SDE,2015/06/01 14:29:55,2970,3226,235,7.9,,195.1,73602.3079039766,240410203.459339
140405,13113140405,1404.05,ARC 10,,,SDE,2015/06/01 14:29:55,1192,1261,9,0.8,,14.3,86159.2096180504,219994430.327601
140404,13113140404,1404.04,ARC 10,,,SDE,2015/06/01 14:29:55,1903,2049,84,4.4,,179.3,57455.0140508061,153291601.515406
140206,13113140206,1402.06,ARC 10,,,SDE,2015/06/01 14:29:55,1561,1620,129,8.3,,161.4,69712.6691047536,154774161.29234
140203,13113140203,1402.03,ARC 10,,,SDE,2015/06/01 14:29:55,1894,2012,24,1.3,,216.4,91254.2436918478,290001802.812385
140204,13113140204,1402.04,ARC 10,,,SDE,2015/06/01 14:29:55,1665,1807,49,2.9,,42.5,111233.227689548,451689259.554735
140305,13113140305,1403.05,ARC 10,,,SDE,2015/06/01 14:29:55,1452,1547,54,3.7,,247.1,75691.0599903283,281645192.402095
140403,13113140403,1404.03,ARC 10,,,SDE,2015/06/01 14:29:55,1995,2125,54,2.7,,122.7,60438.1572472479,171544532.960813
140406,13113140406,1404.06,ARC 10,,,SDE,2015/06/01 14:29:55,1515,1573,37,2.4,,37.3,64901.9223152953,145879392.943182
140306,13113140306,1403.06,ARC 10,,,SDE,2015/06/01 14:29:55,2658,2975,50,1.9,,56.3,53563.4374397149,143487501.381617
140102,13113140102,1401.02,ARC 10,,,SDE,2015/06/01 14:29:55,2007,2305,57,2.8,,-3.8,109851.693263908,336656631.741546
140101,13113140101,1401.01,ARC 10,,,SDE,2015/06/01 14:29:55,2614,2924,31,1.2,,49.1,102874.559858092,458546834.726017
140502,13113140502,1405.02,ARC 10,,,SDE,2015/06/01 14:29:55,1236,1249,48,3.9,,12.4,139816.000044208,777975618.846944
140501,13113140501,1405.01,ARC 10,,,SDE,2015/06/01 14:29:55,1986,2133,16,0.8,,42.3,159570.132794612,788791147.57867
060404,13247060404,604.04,ARC 10,,,SDE,2015/06/01 14:29:55,2124,2257,36,1.7,,-45.3,64682.2581457978,167466513.214076
060304,13247060304,603.04,ARC 10,,,SDE,2015/06/01 14:29:55,2015,2469,211,10.5,,120.7,90066.9836752818,224605713.567397
060101,13247060101,601.01,ARC 10,,,SDE,2015/06/01 14:29:55,1183,1328,22,1.9,,9.5,77808.1997356118,307143932.879104
060202,13247060202,602.02,ARC 10,,,SDE,2015/06/01 14:29:55,3521,3830,137,3.9,,174.6,74189.430883602,309016178.704096
060201,13247060201,602.01,ARC 10,,,SDE,2015/06/01 14:29:55,1087,1303,97,8.9,,31.8,67165.7372847306,143412137.717664
060306,13247060306,603.06,ARC 10,,,SDE,2015/06/01 14:29:55,934,1095,32,3.4,,231.9,64207.6471840766,157623715.701727
060407,13247060407,604.07,ARC 10,,,SDE,2015/06/01 14:29:55,1235,1291,59,4.8,,-84.8,51188.2919232618,64935948.9805994
060403,13247060403,604.03,ARC 10,,,SDE,2015/06/01 14:29:55,1206,1365,0,0,,63.8,131796.667386412,416935105.883279
060406,13247060406,604.06,ARC 10,,,SDE,2015/06/01 14:29:55,1808,2016,52,2.9,,41.4,50619.1829553302,117616271.625449
060305,13247060305,603.05,ARC 10,,,SDE,2015/06/01 14:29:55,1899,2207,178,9.4,,138.2,75657.493478512,181880026.882896
060309,13247060309,603.09,ARC 10,,,SDE,2015/06/01 14:29:55,1844,2214,155,8.4,,323.4,44436.0818355179,90494498.7365635
060308,13247060308,603.08,ARC 10,,,SDE,2015/06/01 14:29:55,2634,3011,182,6.9,,858.7,45042.8958153065,87228462.2578368
060405,13247060405,604.05,ARC 10,,,SDE,2015/06/01 14:29:55,2365,2542,12,0.5,,90.6,126389.904417787,497213387.013526
060307,13247060307,603.07,ARC 10,,,SDE,2015/06/01 14:29:55,3465,4112,139,4,,483.7,59382.5848842219,158878121.597283
060102,13247060102,601.02,ARC 10,,,SDE,2015/06/01 14:29:55,1997,2176,90,4.5,,35.7,154592.268281392,757490819.979178
030330,13067030330,303.30,ARC 10,,,SDE,2015/06/01 14:29:55,1920,2066,20,1,,139.1,43758.1035143326,65231395.8161678
030328,13067030328,303.28,ARC 10,,,SDE,2015/06/01 14:29:55,2307,2391,44,1.9,,-113.8,48852.9180690557,72659643.8199884
030700,13067030700,307,ARC 10,,,SDE,2015/06/01 14:29:55,1528,1860,262,17.1,,-708.2,30163.6183086322,46354789.2641586
030324,13067030324,303.24,ARC 10,,,SDE,2015/06/01 14:29:55,1257,1278,0,0,,-220.7,33140.9497844806,39862481.1508424
030312,13067030312,303.12,ARC 10,,,SDE,2015/06/01 14:29:55,2444,2525,16,0.7,,-80.3,42822.4289738005,93626844.6133491
030228,13067030228,302.28,ARC 10,,,SDE,2015/06/01 14:29:55,2842,3135,88,3.1,,27.8,45229.2219406261,104439450.360194
030231,13067030231,302.31,ARC 10,,,SDE,2015/06/01 14:29:55,2674,2861,11,0.4,,147,56438.3639455204,157030195.260729
030230,13067030230,302.30,ARC 10,,,SDE,2015/06/01 14:29:55,5310,5856,362,6.8,,1275.2,63611.383191106,169818845.483315
030311,13067030311,303.11,ARC 10,,,SDE,2015/06/01 14:29:55,2181,2227,14,0.6,,-90,44010.4978278588,92778307.9752697
031001,13067031001,310.01,ARC 10,,,SDE,2015/06/01 14:29:55,1671,2056,382,22.9,,-50.5,64595.0713931129,167844984.645337
030310,13067030310,303.10,ARC 10,,,SDE,2015/06/01 14:29:55,2664,2971,0,0,,86.8,44295.6155363853,94444472.3239413
030215,13067030215,302.15,ARC 10,,,SDE,2015/06/01 14:29:55,3037,3129,50,1.6,,364.3,36759.1054378185,77922022.7508394
030601,13067030601,306.01,ARC 10,,,SDE,2015/06/01 14:29:55,4271,4538,72,1.7,,1384.4,40551.6105968364,100962953.154958
030227,13067030227,302.27,ARC 10,,,SDE,2015/06/01 14:29:55,2651,3052,0,0,,87.9,45728.7798571052,93691290.4627745
030602,13067030602,306.02,ARC 10,,,SDE,2015/06/01 14:29:55,3017,3218,218,7.2,,61,60457.6418344694,172110856.146391
030506,13067030506,305.06,ARC 10,,,SDE,2015/06/01 14:29:55,1817,1958,46,2.5,,267.1,42824.1436891578,86572915.9223227
030507,13067030507,305.07,ARC 10,,,SDE,2015/06/01 14:29:55,1904,1996,42,2.2,,51.3,33484.4416557206,66670260.8012753
